Ciudad,Cultivo,year,Mes,Kilos,Hectáreas,date
Bilbao,Olivo,2014,8,31303,283.4699809884972,2014-08-15
Bilbao,Olivo,2014,9,47576,134.4185528278289,2014-09-15
Bilbao,Olivo,2014,10,18675,133.37332495442843,2014-10-15
Bilbao,Olivo,2014,11,45417,359.0125890629766,2014-11-15
Bilbao,Olivo,2014,12,2636,149.57184224495913,2014-12-15
Bilbao,Olivo,2015,1,28728,140.72269699488965,2015-01-15
Bilbao,Olivo,2015,2,29673,256.3127213821421,2015-02-15
Bilbao,Olivo,2015,3,47645,26.19485912126871,2015-03-15
Bilbao,Olivo,2015,4,39623,455.05028412366033,2015-04-15
Bilbao,Olivo,2015,5,47717,80.99848732469931,2015-05-15
Bilbao,Olivo,2015,6,39559,280.9176136449507,2015-06-15
Bilbao,Olivo,2015,7,5931,49.61812990303047,2015-07-15
Bilbao,Olivo,2015,8,45215,126.44239655627584,2015-08-15
Bilbao,Olivo,2015,9,26342,403.53848062614895,2015-09-15
Bilbao,Olivo,2015,10,41772,319.82985699085395,2015-10-15
Bilbao,Olivo,2015,11,1197,205.423976797831,2015-11-15
Bilbao,Olivo,2015,12,45542,54.24198732666007,2015-12-15
Bilbao,Olivo,2016,1,26184,83.85159654306044,2016-01-15
Bilbao,Olivo,2016,2,21666,101.39407009592856,2016-02-15
Bilbao,Olivo,2016,3,16708,430.5958143587228,2016-03-15
Bilbao,Olivo,2016,4,3811,342.0065373027184,2016-04-15
Bilbao,Olivo,2016,5,7546,358.46327089462875,2016-05-15
Bilbao,Olivo,2016,6,31206,120.9829298469896,2016-06-15
Bilbao,Olivo,2016,7,3911,57.12651003479617,2016-07-15
Bilbao,Olivo,2016,8,9680,348.5594916702084,2016-08-15
Bilbao,Olivo,2016,9,6759,263.6981617584653,2016-09-15
Bilbao,Olivo,2016,10,12111,77.38526263153669,2016-10-15
Bilbao,Olivo,2016,11,9155,370.2558984279784,2016-11-15
Bilbao,Olivo,2016,12,48025,463.0998729564957,2016-12-15
Bilbao,Olivo,2017,1,21445,350.9343556790903,2017-01-15
Bilbao,Olivo,2017,2,17646,333.39218255674774,2017-02-15
Bilbao,Olivo,2017,3,32065,491.26248823142345,2017-03-15
Bilbao,Olivo,2017,4,17371,269.5287833944432,2017-04-15
Bilbao,Olivo,2017,5,3049,498.1643128813829,2017-05-15
Bilbao,Olivo,2017,6,48357,449.6357213971301,2017-06-15
Bilbao,Olivo,2017,7,30855,320.2197140639013,2017-07-15
Bilbao,Olivo,2017,8,44016,146.64696277016913,2017-08-15
Bilbao,Olivo,2017,9,43642,365.71828264641726,2017-09-15
Bilbao,Olivo,2017,10,2154,429.5989030202653,2017-10-15
Bilbao,Olivo,2017,11,13183,426.9549398960812,2017-11-15
Bilbao,Olivo,2017,12,33711,394.8169190458324,2017-12-15
Bilbao,Olivo,2018,1,49354,192.4185556152541,2018-01-15
Bilbao,Olivo,2018,2,39360,335.11586686294737,2018-02-15
Bilbao,Olivo,2018,3,47940,149.1212776213582,2018-03-15
Bilbao,Olivo,2018,4,22357,278.8795567896272,2018-04-15
Bilbao,Olivo,2018,5,3869,229.7278300632612,2018-05-15
Bilbao,Olivo,2018,6,47760,96.20337381189924,2018-06-15
Bilbao,Olivo,2018,7,39467,126.25205287343204,2018-07-15
Bilbao,Olivo,2018,8,26876,97.62312751845111,2018-08-15
Bilbao,Olivo,2018,9,23399,374.6435562977155,2018-09-15
Bilbao,Olivo,2018,10,34986,332.23031722716826,2018-10-15
Bilbao,Olivo,2018,11,45064,275.84471297190066,2018-11-15
Bilbao,Olivo,2018,12,42914,190.18074349912243,2018-12-15
Bilbao,Vid,2008,1,20830,132.72629111673623,2008-01-15
Bilbao,Vid,2008,2,15373,489.6575005547545,2008-02-15
Bilbao,Vid,2008,3,9754,447.1028120367855,2008-03-15
Bilbao,Vid,2008,4,20738,222.85323910011005,2008-04-15
Bilbao,Vid,2008,5,49404,256.2921756215442,2008-05-15
Bilbao,Vid,2008,6,40790,251.33366997124327,2008-06-15
Bilbao,Vid,2008,7,30124,122.79078143836207,2008-07-15
Bilbao,Vid,2008,8,10007,147.57845759601935,2008-08-15
Bilbao,Vid,2008,9,38410,386.5914670100914,2008-09-15
Bilbao,Vid,2008,10,41447,96.78423290945398,2008-10-15
Bilbao,Vid,2008,11,19589,477.4250027312678,2008-11-15
Bilbao,Vid,2008,12,37212,442.91207091046687,2008-12-15
Bilbao,Vid,2009,1,33635,17.57374209914504,2009-01-15
Bilbao,Vid,2009,2,19711,172.0676492885517,2009-02-15
Bilbao,Vid,2009,3,1301,483.6608613313981,2009-03-15
Bilbao,Vid,2009,4,1699,427.9746331790065,2009-04-15
Bilbao,Vid,2009,5,1190,159.7915394507191,2009-05-15
Bilbao,Vid,2009,6,36743,427.0569690432599,2009-06-15
Bilbao,Vid,2009,7,20778,93.05144587618533,2009-07-15
Bilbao,Vid,2009,8,35584,203.39881873664137,2009-08-15
Bilbao,Vid,2009,9,24093,351.05460037073675,2009-09-15
Bilbao,Vid,2009,10,35663,44.50390411627651,2009-10-15
Bilbao,Vid,2009,11,46681,311.35354108259315,2009-11-15
Bilbao,Vid,2009,12,12093,185.7369228351203,2009-12-15
Bilbao,Vid,2010,1,17538,154.69238832527998,2010-01-15
Bilbao,Vid,2010,2,46017,372.97662269956015,2010-02-15
Bilbao,Vid,2010,3,41864,76.94445240659412,2010-03-15
Bilbao,Vid,2010,4,13533,186.15066409768,2010-04-15
Bilbao,Vid,2010,5,6801,406.5869661844717,2010-05-15
Bilbao,Vid,2010,6,39754,135.54140236128444,2010-06-15
Bilbao,Vid,2010,7,11647,457.4878707526709,2010-07-15
Bilbao,Vid,2010,8,23009,12.54058275925352,2010-08-15
Bilbao,Vid,2010,9,46091,401.16463769371984,2010-09-15
Bilbao,Vid,2010,10,3368,44.76104932996456,2010-10-15
Bilbao,Vid,2010,11,41941,399.93840802368953,2010-11-15
Bilbao,Vid,2010,12,26547,444.4424029858234,2010-12-15
Bilbao,Vid,2011,1,14403,293.64379879870376,2011-01-15
Bilbao,Vid,2011,2,11966,339.2928062946477,2011-02-15
Bilbao,Vid,2011,3,29312,85.97039219659466,2011-03-15
Bilbao,Vid,2011,4,23677,299.50829767881527,2011-04-15
Bilbao,Vid,2011,5,32024,28.300612487115064,2011-05-15
Bilbao,Vid,2011,6,30749,273.17038932636115,2011-06-15
Bilbao,Vid,2011,7,28236,265.89919742685413,2011-07-15
Bilbao,Vid,2011,8,20508,143.05602875167352,2011-08-15
Bilbao,Vid,2011,9,49747,315.2163331513101,2011-09-15
Bilbao,Vid,2011,10,22699,422.5913067558709,2011-10-15
Bilbao,Vid,2011,11,33093,274.9112095889522,2011-11-15
Bilbao,Vid,2011,12,40734,77.79301528472267,2011-12-15
Bilbao,Vid,2012,1,40567,488.167518936642,2012-01-15
Bilbao,Vid,2012,2,18019,360.15160104817653,2012-02-15
Bilbao,Vid,2012,3,27258,399.6412354366648,2012-03-15
Bilbao,Vid,2012,4,18214,222.4251614145636,2012-04-15
Bilbao,Vid,2012,5,38945,48.44362685771032,2012-05-15
Bilbao,Vid,2012,6,26316,100.32350042237132,2012-06-15
Bilbao,Vid,2012,7,6949,419.6302590509808,2012-07-15
Bilbao,Vid,2012,8,24944,347.36495137502953,2012-08-15
Bilbao,Vid,2012,9,2081,458.4547265369754,2012-09-15
Bilbao,Vid,2012,10,47175,279.12106570599906,2012-10-15
Bilbao,Vid,2012,11,21056,333.4967145916883,2012-11-15
Bilbao,Vid,2012,12,46952,477.8839875249651,2012-12-15
Bilbao,Vid,2013,1,30375,281.6334857305864,2013-01-15
Bilbao,Vid,2013,2,48893,367.7192651152911,2013-02-15
Bilbao,Vid,2013,3,9130,131.38818485556715,2013-03-15
Bilbao,Vid,2013,4,2679,87.7367593448206,2013-04-15
Bilbao,Vid,2013,5,8253,17.052809428580375,2013-05-15
Bilbao,Vid,2013,6,10435,32.54129459065885,2013-06-15
Bilbao,Vid,2013,7,14296,162.59252160173415,2013-07-15
Bilbao,Vid,2013,8,14245,354.7923510962116,2013-08-15
Bilbao,Vid,2013,9,30899,18.408939897557616,2013-09-15
Bilbao,Vid,2013,10,36247,405.3873587548819,2013-10-15
Bilbao,Vid,2013,11,27211,94.86891625590744,2013-11-15
Bilbao,Vid,2013,12,38220,205.26731985471295,2013-12-15
Bilbao,Vid,2014,1,24049,475.0814084797791,2014-01-15
Bilbao,Vid,2014,2,32843,32.198964788301815,2014-02-15
Bilbao,Vid,2014,3,41158,17.499224742288526,2014-03-15
Bilbao,Vid,2014,4,45690,256.5367667042429,2014-04-15
Bilbao,Vid,2014,5,42975,332.75987949328305,2014-05-15
Bilbao,Vid,2014,6,5611,311.76707055105777,2014-06-15
Bilbao,Vid,2014,7,39646,472.683282591332,2014-07-15
Bilbao,Vid,2014,8,26471,321.8377627485455,2014-08-15
Bilbao,Vid,2014,9,1851,291.9823471591807,2014-09-15
Bilbao,Vid,2014,10,7833,290.9498504192473,2014-10-15
Bilbao,Vid,2014,11,27144,234.54391634084317,2014-11-15
Bilbao,Vid,2014,12,36506,412.1133431145381,2014-12-15
Bilbao,Vid,2015,1,39155,199.1902925223794,2015-01-15
Bilbao,Vid,2015,2,39304,329.2275382103161,2015-02-15
Bilbao,Vid,2015,3,18450,105.93765604675524,2015-03-15
Bilbao,Vid,2015,4,44404,115.14866865710331,2015-04-15
Bilbao,Vid,2015,5,4373,18.928694569259367,2015-05-15
Bilbao,Vid,2015,6,28122,312.9444033255675,2015-06-15
Bilbao,Vid,2015,7,28350,44.882437745512206,2015-07-15
Bilbao,Vid,2015,8,26351,198.8443442731269,2015-08-15
Bilbao,Vid,2015,9,16305,21.403248510554675,2015-09-15
Bilbao,Vid,2015,10,1417,137.74031883559252,2015-10-15
Bilbao,Vid,2015,11,21358,67.90076553461157,2015-11-15
Bilbao,Vid,2015,12,25052,180.6849361820667,2015-12-15
Bilbao,Vid,2016,1,12338,439.961286628256,2016-01-15
Bilbao,Vid,2016,2,41355,214.7935555406336,2016-02-15
Bilbao,Vid,2016,3,24548,148.19694055994017,2016-03-15
Bilbao,Vid,2016,4,45425,217.5007617309781,2016-04-15
Bilbao,Vid,2016,5,36735,405.34902224095936,2016-05-15
Bilbao,Vid,2016,6,49816,368.5074000968237,2016-06-15
Bilbao,Vid,2016,7,18955,192.28886203846372,2016-07-15
Bilbao,Vid,2016,8,35911,176.99373472397875,2016-08-15
Bilbao,Vid,2016,9,8357,285.3146791504491,2016-09-15
Bilbao,Vid,2016,10,45811,220.207073413759,2016-10-15
Bilbao,Vid,2016,11,6644,372.5552926192135,2016-11-15
Bilbao,Vid,2016,12,3914,60.530695729606975,2016-12-15
Bilbao,Vid,2017,1,47352,271.82046202997606,2017-01-15
Bilbao,Vid,2017,2,42555,414.9641583927934,2017-02-15
Bilbao,Vid,2017,3,1698,58.99259470931305,2017-03-15
Bilbao,Vid,2017,4,14923,15.310449225346195,2017-04-15
Bilbao,Vid,2017,5,8400,425.100140606839,2017-05-15
Bilbao,Vid,2017,6,5360,166.4636824193033,2017-06-15
Bilbao,Vid,2017,7,18101,341.6172531679086,2017-07-15
Bilbao,Vid,2017,8,33307,290.9845651804102,2017-08-15
Bilbao,Vid,2017,9,6486,50.80936148567723,2017-09-15
Bilbao,Vid,2017,10,38259,171.04562723125883,2017-10-15
Bilbao,Vid,2017,11,12130,114.2366685618722,2017-11-15
Bilbao,Vid,2017,12,2167,396.9128899693314,2017-12-15
Bilbao,Vid,2018,1,19540,466.1552617867734,2018-01-15
Bilbao,Vid,2018,2,22689,38.2037924081557,2018-02-15
Bilbao,Vid,2018,3,38497,226.34994567295476,2018-03-15
Bilbao,Vid,2018,4,39102,277.49872738084457,2018-04-15
Bilbao,Vid,2018,5,25394,67.36283804952687,2018-05-15
Bilbao,Vid,2018,6,7731,347.13470498576913,2018-06-15
Bilbao,Vid,2018,7,18337,312.9268510249679,2018-07-15
Bilbao,Vid,2018,8,12516,420.8555742443527,2018-08-15
Bilbao,Vid,2018,9,22677,353.4748744149688,2018-09-15
Bilbao,Vid,2018,10,40081,204.3592849575834,2018-10-15
Bilbao,Vid,2018,11,24322,356.0586913066832,2018-11-15
Bilbao,Vid,2018,12,18924,261.5298226592725,2018-12-15
Bilbao,Trigo,2008,1,27962,294.83965444112334,2008-01-15
Bilbao,Trigo,2008,2,43348,191.6146520627765,2008-02-15
Bilbao,Trigo,2008,3,42459,125.9757449042186,2008-03-15
Bilbao,Trigo,2008,4,41262,493.14052127320673,2008-04-15
Bilbao,Trigo,2008,5,26731,181.60694088315364,2008-05-15
Bilbao,Trigo,2008,6,24803,50.91535118234769,2008-06-15
Bilbao,Trigo,2008,7,7588,195.2139191599047,2008-07-15
Bilbao,Trigo,2008,8,27790,217.8687845310184,2008-08-15
Bilbao,Trigo,2008,9,29178,64.48676633001415,2008-09-15
Bilbao,Trigo,2008,10,45482,134.304265197838,2008-10-15
Bilbao,Trigo,2008,11,22233,239.64371457712187,2008-11-15
Bilbao,Trigo,2008,12,31355,68.22077897135524,2008-12-15
Bilbao,Trigo,2009,1,14116,413.16727241957966,2009-01-15
Bilbao,Trigo,2009,2,43918,375.56199084005743,2009-02-15
Bilbao,Trigo,2009,3,43956,126.37817093331029,2009-03-15
Bilbao,Trigo,2009,4,1504,193.686583966615,2009-04-15
Bilbao,Trigo,2009,5,29016,50.61674762974357,2009-05-15
Bilbao,Trigo,2009,6,18312,119.5619608745318,2009-06-15
Bilbao,Trigo,2009,7,3105,15.955692598010009,2009-07-15
Bilbao,Trigo,2009,8,23700,31.148356855782296,2009-08-15
Bilbao,Trigo,2009,9,21559,268.5735434522869,2009-09-15
Bilbao,Trigo,2009,10,12003,46.16031672034544,2009-10-15
Bilbao,Trigo,2009,11,26826,350.7514503222573,2009-11-15
Bilbao,Trigo,2009,12,45472,266.3179436433729,2009-12-15
Bilbao,Trigo,2010,1,18640,116.2364622273807,2010-01-15
Bilbao,Trigo,2010,2,43356,351.4932773732693,2010-02-15
Bilbao,Trigo,2010,3,4330,451.5674251405846,2010-03-15
Bilbao,Trigo,2010,4,25504,458.4746274178621,2010-04-15
Bilbao,Trigo,2010,5,35121,475.7016271975138,2010-05-15
Bilbao,Trigo,2010,6,22447,203.31568131798363,2010-06-15
Bilbao,Trigo,2010,7,24959,313.864972922753,2010-07-15
Bilbao,Trigo,2010,8,30703,93.1431529088271,2010-08-15
Bilbao,Trigo,2010,9,37487,183.14259173276588,2010-09-15
Bilbao,Trigo,2010,10,32921,140.30958323247708,2010-10-15
Bilbao,Trigo,2010,11,38732,487.4534557564216,2010-11-15
Bilbao,Trigo,2010,12,21159,232.0880149461272,2010-12-15
Bilbao,Trigo,2011,1,41080,147.0841185127834,2011-01-15
Bilbao,Trigo,2011,2,36547,142.76924483241365,2011-02-15
Bilbao,Trigo,2011,3,28532,456.3543204019828,2011-03-15
Bilbao,Trigo,2011,4,46445,475.4019575130428,2011-04-15
Bilbao,Trigo,2011,5,5804,310.573446008537,2011-05-15
Bilbao,Trigo,2011,6,1009,467.0369568434665,2011-06-15
Bilbao,Trigo,2011,7,24793,280.2780575465943,2011-07-15
Bilbao,Trigo,2011,8,38892,22.919817503653483,2011-08-15
Bilbao,Trigo,2011,9,28712,245.3813401145138,2011-09-15
Bilbao,Trigo,2011,10,47318,83.7042766407288,2011-10-15
Bilbao,Trigo,2011,11,24833,196.63651974920052,2011-11-15
Bilbao,Trigo,2011,12,21309,416.290468146192,2011-12-15
Bilbao,Trigo,2012,1,22168,420.7810653084575,2012-01-15
Bilbao,Trigo,2012,2,19017,28.04271514163577,2012-02-15
Bilbao,Trigo,2012,3,9702,143.96946524604604,2012-03-15
Bilbao,Trigo,2012,4,41943,46.92593957270653,2012-04-15
Bilbao,Trigo,2012,5,13763,408.321494473738,2012-05-15
Bilbao,Trigo,2012,6,33606,377.4562672402862,2012-06-15
Bilbao,Trigo,2012,7,16106,282.16153574528744,2012-07-15
Bilbao,Trigo,2012,8,24524,365.7992135952056,2012-08-15
Bilbao,Trigo,2012,9,5809,426.3272214319316,2012-09-15
Bilbao,Trigo,2012,10,14456,128.1315678415196,2012-10-15
Bilbao,Trigo,2012,11,39765,133.20679536078126,2012-11-15
Bilbao,Trigo,2012,12,18100,111.54154801394766,2012-12-15
Bilbao,Trigo,2013,1,5544,339.1333353588698,2013-01-15
Bilbao,Trigo,2013,2,43783,32.97926921769776,2013-02-15
Bilbao,Trigo,2013,3,48198,65.64322017781822,2013-03-15
Bilbao,Trigo,2013,4,15489,254.10094145648756,2013-04-15
Bilbao,Trigo,2013,5,44125,417.3720301306256,2013-05-15
Bilbao,Trigo,2013,6,33049,427.5689351560847,2013-06-15
Bilbao,Trigo,2013,7,9427,284.85960605233925,2013-07-15
Bilbao,Trigo,2013,8,25285,397.9907413401201,2013-08-15
Bilbao,Trigo,2013,9,23928,75.66746194081396,2013-09-15
Bilbao,Trigo,2013,10,20758,216.0625315458868,2013-10-15
Bilbao,Trigo,2013,11,2252,313.9516801631977,2013-11-15
Bilbao,Trigo,2013,12,38441,404.4718870844873,2013-12-15
Bilbao,Trigo,2014,1,16781,312.4592189276731,2014-01-15
Bilbao,Trigo,2014,2,40649,181.7879038152325,2014-02-15
Bilbao,Trigo,2014,3,9017,202.19958209886883,2014-03-15
Bilbao,Trigo,2014,4,24386,54.59102461515184,2014-04-15
Bilbao,Trigo,2014,5,11209,180.6451788414172,2014-05-15
Bilbao,Trigo,2014,6,32703,456.1309264176038,2014-06-15
Bilbao,Trigo,2014,7,5637,314.822483111658,2014-07-15
Bilbao,Trigo,2014,8,44088,475.2651055922447,2014-08-15
Bilbao,Trigo,2014,9,40811,235.0799358936245,2014-09-15
Bilbao,Trigo,2014,10,20856,251.1369836089737,2014-10-15
Bilbao,Trigo,2014,11,20963,42.45562914741427,2014-11-15
Bilbao,Trigo,2014,12,37932,490.2159618898838,2014-12-15
Bilbao,Trigo,2015,1,15388,180.23257003045296,2015-01-15
Bilbao,Trigo,2015,2,40037,320.36641861519564,2015-02-15
Bilbao,Trigo,2015,3,13015,177.36597312370708,2015-03-15
Bilbao,Trigo,2015,4,7254,73.15106373621812,2015-04-15
Bilbao,Trigo,2015,5,41118,296.5353919150853,2015-05-15
Bilbao,Trigo,2015,6,7090,78.02531459821097,2015-06-15
Bilbao,Trigo,2015,7,25071,98.23296345115628,2015-07-15
Bilbao,Trigo,2015,8,43679,211.7139950351888,2015-08-15
Bilbao,Trigo,2015,9,19271,242.24120372880745,2015-09-15
Bilbao,Trigo,2015,10,5188,486.8240711423511,2015-10-15
Bilbao,Trigo,2015,11,29732,104.22161921624868,2015-11-15
Bilbao,Trigo,2015,12,24954,412.6774120537801,2015-12-15
Bilbao,Trigo,2016,1,22969,146.50926612565974,2016-01-15
Bilbao,Trigo,2016,2,37668,25.584293927730915,2016-02-15
Bilbao,Trigo,2016,3,40749,69.1115768392944,2016-03-15
Bilbao,Trigo,2016,4,40144,184.4358272932732,2016-04-15
Bilbao,Trigo,2016,5,28693,188.49223191355696,2016-05-15
Bilbao,Trigo,2016,6,27329,348.293466028389,2016-06-15
Bilbao,Trigo,2016,7,24624,55.22238725208558,2016-07-15
Bilbao,Trigo,2016,8,23574,317.6711908505448,2016-08-15
Bilbao,Trigo,2016,9,11478,260.711936638158,2016-09-15
Bilbao,Trigo,2016,10,46162,461.2274762605885,2016-10-15
Bilbao,Trigo,2016,11,5432,145.67004759212983,2016-11-15
Bilbao,Trigo,2016,12,14568,51.41333376353415,2016-12-15
Bilbao,Trigo,2017,1,15178,100.4152994846249,2017-01-15
Bilbao,Trigo,2017,2,1302,191.5313303677772,2017-02-15
Bilbao,Trigo,2017,3,46781,125.69710122752812,2017-03-15
Bilbao,Trigo,2017,4,29699,190.76768338918848,2017-04-15
Bilbao,Trigo,2017,5,45247,363.0528700818178,2017-05-15
Bilbao,Trigo,2017,6,40577,27.97476941639297,2017-06-15
Bilbao,Trigo,2017,7,47391,75.22729500786434,2017-07-15
Bilbao,Trigo,2017,8,6122,448.6513504667277,2017-08-15
Bilbao,Trigo,2017,9,20181,377.3119536842078,2017-09-15
Bilbao,Trigo,2017,10,2531,62.514285556490265,2017-10-15
Bilbao,Trigo,2017,11,41441,183.53186868863148,2017-11-15
Bilbao,Trigo,2017,12,35674,128.81054678101754,2017-12-15
Bilbao,Trigo,2018,1,9152,371.3285509859713,2018-01-15
Bilbao,Trigo,2018,2,11267,19.83488691108592,2018-02-15
Bilbao,Trigo,2018,3,30926,53.71012106890753,2018-03-15
Bilbao,Trigo,2018,4,48915,124.2760416594026,2018-04-15
Bilbao,Trigo,2018,5,4596,300.86030224148385,2018-05-15
Bilbao,Trigo,2018,6,43563,184.00110860685933,2018-06-15
Bilbao,Trigo,2018,7,17616,254.23667747523805,2018-07-15
Bilbao,Trigo,2018,8,27734,296.25774750994293,2018-08-15
Bilbao,Trigo,2018,9,27069,297.55214783023075,2018-09-15
Bilbao,Trigo,2018,10,8943,297.4023629837719,2018-10-15
Bilbao,Trigo,2018,11,24275,72.51434836982625,2018-11-15
Bilbao,Trigo,2018,12,36240,175.34894859723985,2018-12-15
Bilbao,Maíz,2008,1,20123,326.4994482524846,2008-01-15
Bilbao,Maíz,2008,2,35529,129.7330461776807,2008-02-15
Bilbao,Maíz,2008,3,11554,493.39247190856,2008-03-15
Bilbao,Maíz,2008,4,4812,467.50899364233857,2008-04-15
Bilbao,Maíz,2008,5,28285,120.41307087913884,2008-05-15
Bilbao,Maíz,2008,6,2605,130.519286908409,2008-06-15
Bilbao,Maíz,2008,7,28139,426.9005837397117,2008-07-15
Bilbao,Maíz,2008,8,11589,94.95306169442986,2008-08-15
Bilbao,Maíz,2008,9,28446,422.733877296109,2008-09-15
Bilbao,Maíz,2008,10,25818,18.938815899896912,2008-10-15
Bilbao,Maíz,2008,11,5324,491.36552228521714,2008-11-15
Bilbao,Maíz,2008,12,39110,449.3390288572702,2008-12-15
Bilbao,Maíz,2009,1,42427,485.0405123049308,2009-01-15
Bilbao,Maíz,2009,2,23350,410.3653147651472,2009-02-15
Bilbao,Maíz,2009,3,47685,93.73491782113226,2009-03-15
Bilbao,Maíz,2009,4,14234,412.22212184514274,2009-04-15
Bilbao,Maíz,2009,5,1846,272.1679987020062,2009-05-15
Bilbao,Maíz,2009,6,49153,147.18975589353926,2009-06-15
